user_id,age,age_group,gender,device_model,os,avg_screen_time_hrs,daily_data_gb,app_count,battery_drain_pct,charging_freq,primary_use
10001,18,18-25,Male,Redmi Note 11,Android,4.37,2.55,35,59.76,2,Social
10002,39,36-45,Female,Galaxy A52,Android,3.62,3.1,123,32.25,1,Mixed
10003,28,26-35,Female,OnePlus Nord,Android,3.68,1.83,124,50.27,1,Social
10004,19,18-25,Female,Galaxy A52,Android,4.55,0.68,129,54.43,1,Gaming
10005,46,46-60,Male,iPhone 13,iOS,4.69,2.96,91,50.54,1,Social
10006,19,18-25,Male,Galaxy A52,Android,3.72,5.47,107,48.82,1,Work
10007,29,26-35,Male,Redmi Note 11,Android,4.04,2.1,35,58.95,2,Social
10008,21,18-25,Female,Redmi Note 11,Android,6.79,4.64,110,93.5,3,Social
10009,49,46-60,Female,Redmi Note 11,Android,6.85,1.62,85,81.95,3,Social
10010,55,46-60,Female,iPhone 12,iOS,4.93,2.88,74,57.05,1,Work
10011,36,36-45,Male,OnePlus Nord,Android,2.22,3.6,39,30.0,1,Gaming
10012,32,26-35,Female,Galaxy A52,Android,5.42,2.59,70,71.98,1,Mixed
10013,40,36-45,Female,Redmi Note 11,Android,7.14,2.21,103,77.42,3,Social
10014,29,26-35,Male,OnePlus Nord,Android,6.83,3.54,103,84.03,4,Gaming
10015,37,36-45,Male,Galaxy A52,Android,5.75,5.06,102,71.26,1,Mixed
10016,24,18-25,Male,OnePlus Nord,Android,6.92,2.99,76,82.3,3,Social
10017,23,18-25,Male,OnePlus Nord,Android,4.59,1.93,70,48.49,3,Work
10018,45,36-45,Female,iPhone 12,iOS,5.57,2.35,37,65.56,2,Work
10019,36,36-45,Male,iPhone 13,iOS,3.34,5.88,96,36.65,1,Social
10020,54,46-60,Male,iPhone 13,iOS,5.0,2.78,100,58.47,2,Social
10021,24,18-25,Female,iPhone 13,iOS,6.76,1.83,78,85.1,4,Social
10022,22,18-25,Male,Redmi Note 11,Android,3.5,1.11,116,54.39,1,Work
10023,45,36-45,Male,Galaxy A52,Android,3.04,0.5,47,43.68,1,Social
10024,27,26-35,Male,Redmi Note 11,Android,4.67,3.07,88,55.28,2,Social
10025,21,18-25,Male,iPhone 13,iOS,4.11,3.45,47,62.63,3,Gaming
10026,37,36-45,Female,iPhone 13,iOS,5.6,2.08,108,64.5,2,Social
10027,27,26-35,Male,iPhone 13,iOS,3.73,2.58,103,42.49,1,Social
10028,50,46-60,Male,Galaxy A52,Android,7.42,1.08,104,90.38,4,Social
10029,56,46-60,Female,iPhone 13,iOS,2.31,2.77,32,37.85,1,Mixed
10030,38,36-45,Male,Redmi Note 11,Android,6.63,3.23,25,75.04,2,Social
10031,41,36-45,Female,Galaxy A52,Android,3.2,1.9,48,44.6,1,Social
10032,30,26-35,Male,Redmi Note 11,Android,1.45,4.8,125,30.0,1,Social
10033,20,18-25,Male,Galaxy A52,Android,4.9,1.51,28,62.22,1,Social
10034,28,26-35,Female,OnePlus Nord,Android,4.07,2.97,48,55.45,2,Work
10035,52,46-60,Female,Redmi Note 11,Android,2.61,3.7,57,35.07,1,Mixed
10036,44,36-45,Female,OnePlus Nord,Android,1.64,2.5,84,31.56,1,Work
10037,31,26-35,Male,OnePlus Nord,Android,4.49,2.35,75,57.01,3,Social
10038,21,18-25,Male,iPhone 13,iOS,6.16,0.74,49,70.77,4,Social
10039,23,18-25,Female,iPhone 12,iOS,5.49,4.36,115,65.42,1,Social
10040,50,46-60,Male,Redmi Note 11,Android,4.6,2.38,78,57.41,3,Social
10041,21,18-25,Male,iPhone 12,iOS,5.31,3.3,106,56.43,3,Gaming
10042,39,36-45,Male,iPhone 13,iOS,4.45,3.47,122,52.68,3,Work
10043,52,46-60,Male,Galaxy A52,Android,2.07,1.78,77,33.09,1,Social
10044,48,46-60,Female,OnePlus Nord,Android,2.08,2.34,29,30.0,1,Social
10045,38,36-45,Male,Redmi Note 11,Android,4.15,4.33,127,49.78,1,Social
10046,34,26-35,Female,Galaxy A52,Android,4.23,1.15,40,68.61,1,Gaming
10047,45,36-45,Male,iPhone 12,iOS,5.95,5.37,75,64.72,2,Work
10048,60,46-60,Female,iPhone 13,iOS,5.79,1.63,45,67.6,3,Gaming
10049,51,46-60,Female,Galaxy A52,Android,5.53,1.07,34,62.3,2,Work
10050,28,26-35,Male,iPhone 12,iOS,4.02,2.77,100,51.5,1,Social
10051,47,46-60,Female,iPhone 13,iOS,2.15,5.47,54,30.0,1,Mixed
10052,19,18-25,Female,iPhone 13,iOS,5.2,0.5,108,62.54,2,Social
10053,28,26-35,Female,Redmi Note 11,Android,5.39,2.42,34,61.59,3,Social
10054,55,46-60,Female,iPhone 13,iOS,0.8,3.22,116,30.0,1,Gaming
10055,24,18-25,Female,Redmi Note 11,Android,3.08,2.64,94,43.29,1,Social
10056,55,46-60,Female,OnePlus Nord,Android,3.33,3.1,107,39.28,1,Social
10057,54,46-60,Male,Galaxy A52,Android,4.7,1.67,25,64.04,1,Gaming
10058,44,36-45,Male,Galaxy A52,Android,3.13,1.82,47,37.55,1,Work
10059,19,18-25,Male,iPhone 12,iOS,4.44,2.41,82,47.02,2,Social
10060,41,36-45,Male,Redmi Note 11,Android,4.14,1.13,48,53.38,1,Work
10061,22,18-25,Male,Redmi Note 11,Android,4.23,2.54,67,65.74,3,Gaming
10062,48,46-60,Male,Galaxy A52,Android,3.28,2.09,82,33.83,1,Social
10063,46,46-60,Female,iPhone 12,iOS,3.41,1.99,77,38.11,1,Work
10064,44,36-45,Male,Galaxy A52,Android,2.66,3.02,40,43.12,1,Mixed
10065,34,26-35,Male,iPhone 12,iOS,5.15,0.5,95,59.65,2,Mixed
10066,22,18-25,Female,Galaxy A52,Android,5.47,2.3,41,70.37,1,Work
10067,28,26-35,Male,Galaxy A52,Android,3.19,5.61,46,38.88,1,Social
10068,38,36-45,Female,Redmi Note 11,Android,7.09,1.19,104,83.75,4,Gaming
10069,23,18-25,Male,OnePlus Nord,Android,3.97,4.27,98,62.17,1,Social
10070,46,46-60,Female,Redmi Note 11,Android,7.1,2.67,76,75.83,3,Work
10071,23,18-25,Female,Redmi Note 11,Android,3.41,1.82,101,52.24,1,Social
10072,39,36-45,Male,iPhone 13,iOS,1.05,0.88,29,30.0,1,Gaming
10073,21,18-25,Male,OnePlus Nord,Android,5.18,2.78,41,54.86,2,Social
10074,19,18-25,Female,Galaxy A52,Android,4.92,4.49,63,64.55,3,Mixed
10075,59,46-60,Female,Redmi Note 11,Android,4.56,2.09,103,58.04,3,Social
10076,20,18-25,Female,iPhone 13,iOS,3.41,2.49,102,46.65,1,Social
