user_id,age,age_group,gender,device_model,os,avg_screen_time_hrs,daily_data_gb,app_count,battery_drain_pct,charging_freq,primary_use,usage_score,behaviour_category
2510,38,36-45,Female,iPhone 14,iOS,7.35,0.19,38,58.7,0,Work,25.02,Moderate
3132,31,26-35,Female,Samsung Galaxy S24,Android,6.31,2.53,45,99.0,0,Gaming,29.14,Moderate
1246,35,26-35,Male,Xiaomi 13,Android,4.1,0.16,78,34.2,0,Work,15.48,Minimal
5769,40,36-45,Male,OnePlus 11,Android,1.77,0.12,84,23.4,0,Work,6.32,Minimal
1872,41,36-45,Female,Samsung Galaxy S24,Android,4.68,0.21,48,38.5,1,Work,18.87,Minimal
6679,49,46-60,Male,Google Pixel 8,Android,6.77,1.01,51,68.4,0,Work,33.71,Moderate
2277,35,26-35,Female,iPhone 14,iOS,2.66,1.2,47,31.0,0,Mixed,16.96,Minimal
2740,33,26-35,Female,OnePlus 11,Android,3.84,0.61,46,42.8,0,Work,10.84,Minimal
1994,33,26-35,Male,Xiaomi 13,Android,9.39,1.75,69,82.8,2,Work,37.76,Moderate
3602,34,26-35,Female,iPhone 14,iOS,4.18,0.83,110,41.3,4,Mixed,24.34,Moderate
4559,31,26-35,Male,Google Pixel 8,Android,3.84,5.2,63,52.7,1,Social,31.0,Moderate
5013,47,46-60,Male,iPhone 14,iOS,1.71,0.5,56,21.6,0,Mixed,10.17,Minimal
6726,32,26-35,Male,iPhone 14,iOS,8.46,11.26,87,99.0,0,Social,50.59,High
4583,44,36-45,Female,iPhone 14,iOS,7.1,9.31,37,99.0,0,Social,44.49,High
4014,35,26-35,Female,Samsung Galaxy S24,Android,7.61,9.95,58,91.5,1,Social,44.14,High
6624,29,26-35,Male,Xiaomi 13,Android,10.81,5.43,33,190.0,1,Gaming,64.22,Dangerous
5743,48,46-60,Female,Xiaomi 13,Android,5.1,0.58,31,51.0,1,Work,23.46,Moderate
4950,35,26-35,Male,Samsung Galaxy S24,Android,7.46,1.32,98,83.6,1,Work,30.69,Moderate
2204,33,26-35,Male,iPhone 14,iOS,7.66,0.13,73,62.8,1,Work,29.04,Moderate
5933,38,36-45,Male,OnePlus 11,Android,6.87,1.21,50,76.4,1,Mixed,26.66,Moderate
2332,52,46-60,Male,iPhone 14,iOS,10.63,1.62,102,180.8,3,Gaming,66.2,Dangerous
2316,23,18-25,Male,Samsung Galaxy S24,Android,9.83,1.59,46,99.0,0,Social,45.26,High
7414,31,26-35,Male,Google Pixel 8,Android,4.88,0.1,44,89.7,0,Gaming,26.4,Moderate
8397,32,26-35,Female,Google Pixel 8,Android,7.4,2.2,38,56.2,1,Work,26.08,Moderate
3037,36,36-45,Male,Xiaomi 13,Android,4.17,0.43,122,45.2,2,Work,20.82,Moderate
7522,23,18-25,Female,iPhone 14,iOS,6.2,4.95,66,70.5,2,Social,29.0,Moderate
7585,41,36-45,Male,Google Pixel 8,Android,4.05,0.13,67,37.0,0,Work,14.21,Minimal
3695,35,26-35,Male,Google Pixel 8,Android,4.11,1.54,31,39.5,0,Mixed,19.26,Minimal
1827,34,26-35,Male,iPhone 14,iOS,4.24,0.43,56,49.4,0,Work,6.84,Minimal
8321,30,26-35,Male,Samsung Galaxy S24,Android,7.97,0.1,74,67.1,0,Work,32.51,Moderate
1165,46,46-60,Female,Samsung Galaxy S24,Android,13.36,4.82,52,85.0,1,Mixed,56.52,Dangerous
3832,41,36-45,Male,Google Pixel 8,Android,6.35,1.84,31,69.2,1,Mixed,28.18,Moderate
6493,28,26-35,Male,Google Pixel 8,Android,8.24,4.35,24,129.6,2,Social,53.81,Dangerous
7016,35,26-35,Male,iPhone 14,iOS,5.17,0.1,110,46.8,1,Work,20.78,Moderate
6799,31,26-35,Male,Google Pixel 8,Android,4.23,0.12,31,48.7,0,Work,25.04,Moderate
7627,33,26-35,Female,iPhone 14,iOS,7.98,2.52,66,99.0,0,Social,44.54,High
2438,21,18-25,Male,iPhone 14,iOS,6.1,1.47,75,63.0,1,Mixed,29.04,Moderate
1767,34,26-35,Female,Xiaomi 13,Android,3.2,0.1,112,55.7,1,Social,26.74,Moderate
1174,38,36-45,Female,Samsung Galaxy S24,Android,3.51,4.26,80,40.8,1,Social,24.28,Moderate
7676,22,18-25,Female,Samsung Galaxy S24,Android,3.59,0.1,39,42.1,0,Work,15.91,Minimal
5113,28,26-35,Male,Samsung Galaxy S24,Android,5.25,0.4,68,45.8,1,Work,23.32,Moderate
4623,25,18-25,Female,Google Pixel 8,Android,5.28,0.1,77,46.9,0,Mixed,18.94,Minimal
6414,28,26-35,Male,iPhone 14,iOS,8.54,7.85,50,98.8,3,Social,50.51,High
2646,36,36-45,Male,OnePlus 11,Android,7.98,0.67,32,49.0,3,Work,30.88,Moderate
7694,27,26-35,Female,Google Pixel 8,Android,3.93,4.73,41,64.4,0,Social,26.2,Moderate
6948,31,26-35,Female,Samsung Galaxy S24,Android,7.52,0.18,51,94.7,1,Social,38.81,Moderate
